FACILITY,TOTAL REVENUE,Branch
NAA DROMO ENTERPRISE,1132.00,KORLE-BU WHOLESALE
SABI YEHODAH ENT,1131.58,DANSOMAN MARKET WHOLESALE
ABIGAIL FORSON CHEMICAL,1129.53,ABEKA WHOLESALE
TRINITY CLINIC,1129.49,MALLAM WHOLESALE
ANNA CHEMICAL,1129.15,KORLE-BU WHOLESALE
SMART KIDS SCHOOL,1128.22,MALLAM WHOLESALE
S.K.S PHARMACY,1125.95,ABEKA WHOLESALE
3J'S PHARMACY,1120.00,OKAISHIE WHOLESALE
FAMILY CARE HOSPITAL,1120.00,KORLE-BU WHOLESALE
KINGAD SUPPLIES,1120.00,OSU WHOLESALE
VICAN CHEMISTS,1120.00,MALLAM WHOLESALE
ALPHABET GLOBAL PHARMACY,1119.34,KORLE-BU WHOLESALE
BESTPAGE,1117.37,REPUBLIC WHOLESALE
PERFECT WELLNESS PHARMACY,1115.67,ABEKA WHOLESALE
EMMANUEL CHEMICAL SHOP,1115.45,ABEKA WHOLESALE
OBEYEYIE MEDICAL CENTER,1115.00,KASOA WHOLESALE
PERFECT WELLNESS PHARMACY,1114.94,OFANKOR WHOLESALE
ROKMER CHEMIST,1113.32,DANSOMAN MARKET WHOLESALE
NYARKOA CHEMICALS,1108.90,AKUKOR FOTO WHOLESALE
MARY CHEMICALS,1105.14,OFANKOR WHOLESALE
MUMFORD CHPS COMPOUND,1102.72,MALLAM WHOLESALE
KOREENY PHARMACY,1101.39,OKAISHIE WHOLESALE
NAYAG PHARMACY,1101.32,OSU WHOLESALE
DELTA CLINIC,1100.00,OKAISHIE WHOLESALE
EMERYSANTE PHARMACY,1095.65,OKAISHIE WHOLESALE
3E MEDICAL CENTRE,1093.00,MALLAM WHOLESALE
HEALTH ROYALE PHARMACY,1091.78,OKAISHIE WHOLESALE
TEMA STEEL COMPANY,1091.76,KORLE-BU WHOLESALE
NAPATCO CHEMICALS,1091.24,MALLAM WHOLESALE
BRIGHT AID PHARMACY,1090.52,AKUKOR FOTO WHOLESALE
FORTIS BACKNAY PHARMACY,1089.62,OKAISHIE WHOLESALE
HEALTH FORTE PHARMACY,1087.84,OFANKOR WHOLESALE
BRIGHT CHEMICAL SHOP,1083.53,TANTRA HILL WHOLESALE
CLIFFCO PHARMACY,1081.40,KORLE-BU WHOLESALE
ABLEKUMA NORTH MUNIPAL ASSEMBLY (VETERINARY DEPT),1081.00,AKUKOR FOTO WHOLESALE
LIFELINE PHARMACY,1081.00,KASOA WHOLESALE
91 DEGREES LTD,1080.00,OSU WHOLESALE
GHANA CHRISTIAN FAMILY FOUNDATION,1080.00,KORLE-BU WHOLESALE
BASH CHEMICAL,1079.01,OKAISHIE WHOLESALE
ENYONAM CHEMICALS,1074.41,TANTRA HILL WHOLESALE
MARADERM HEALTH CENTER,1072.60,MALLAM WHOLESALE
GOLDEN SIKA PHARMACY,1071.48,MALLAM WHOLESALE
BB PHARMA,1069.60,OKAISHIE WHOLESALE
FRANCISCA CHEMICAL SHOP,1068.64,KORLE-BU WHOLESALE
BB LICENSED OTC,1067.84,OFANKOR WHOLESALE
ALPHA DELTA PHARMACY LTD LABONE,1064.00,OSU WHOLESALE
ELIKPLIM PHARMACY,1064.00,OKAISHIE WHOLESALE
POINT OF CARE PHARMACY,1062.00,NANAKROM WHOLESALE
SARAH CHEMICALS,1060.88,REPUBLIC WHOLESALE
AIM PHARMACY,1060.31,PATASE WHOLESALE
NANA YAA CHEMICAL,1060.00,OKAISHIE WHOLESALE
PATTYVERA PHARMACY,1058.77,MALLAM WHOLESALE
SENA SIDE PHARMACY,1058.19,ABEKA WHOLESALE
TUMI WURA,1055.54,OKAISHIE WHOLESALE
J.A PHARMACY,1052.94,OKAISHIE WHOLESALE
GRACE ARTHUR CHEMICALS,1052.18,MALLAM WHOLESALE
ROCK ESCAPE CHEMICAL,1048.58,ABEKA WHOLESALE
HEALTH PORTE PHARMACY,1046.70,OKAISHIE WHOLESALE
EMRET PHARMACY,1046.68,TANTRA HILL WHOLESALE
KAIZEN PHARMACY,1045.71,AKUKOR FOTO WHOLESALE
GAPEC PHARMACY,1042.15,NANAKROM WHOLESALE
LAKE SIDE ESTATE CLINIC,1041.97,NANAKROM WHOLESALE
OAKBRIDGE MEDICAL CENTER,1041.60,KORLE-BU WHOLESALE
NAOMI CHEMICAL,1040.16,OFANKOR WHOLESALE
EDMOND AMOAKO CHEMICAL,1039.14,OFANKOR WHOLESALE
WINIFRED CHEMICAL SHOP,1038.14,TANTRA HILL WHOLESALE
FRONTIERS PHARMACY,1037.48,OKAISHIE WHOLESALE
GREAT PROVIDER,1035.87,OKAISHIE WHOLESALE
EXCEL CHEMICAL SHOP,1035.07,DOME WHOLESALE
DESERET HOSPITAL,1032.00,OFANKOR WHOLESALE
ERIC KYEI CHEMICAL SHOP,1031.02,TANTRA HILL WHOLESALE
S.D.A CHURCH ODORKOR,1030.04,MALLAM WHOLESALE
M. ASARE OTC,1029.63,TANTRA HILL WHOLESALE
JELEX PHARMACY,1028.91,PATASE WHOLESALE
ASCENSION MINISTER'S WIVES FELLOWSHIP (AMWF),1028.51,KORLE-BU WHOLESALE
GOD IS GREAT CHEMICAL,1027.98,OKAISHIE WHOLESALE
TM&KAYYS PHARMACY,1027.26,PATASE WHOLESALE
AYO GHANA,1026.11,REPUBLIC WHOLESALE
TREAT MEDICAL CENTRE,1025.68,REPUBLIC WHOLESALE
WELLBOX PHARMACY,1024.78,REPUBLIC WHOLESALE
TRUE LIFE MEDICAL CENTRE,1024.40,KASOA WHOLESALE
AA DANHARIS PHARMACY,1022.00,KORLE-BU WHOLESALE
BENJAMIN APPIAH OTC,1020.05,KORLE-BU WHOLESALE
CHELLGLEN PHARMACY,1020.00,KORLE-BU WHOLESALE
MEDITECH SHOP,1020.00,OSU WHOLESALE
ANEEJA HOSPITAL,1019.00,OFANKOR WHOLESALE
BRIGHT CHEMICAL SHOP,1018.74,DOME WHOLESALE
ALEX CHEMICAL,1017.23,OFANKOR WHOLESALE
BOSS MEDICAL CENTRE,1016.00,KORLE-BU WHOLESALE
TRUST HOSPITAL,1016.00,OKAISHIE WHOLESALE
DAVID OSEI-YAW,1015.18,MALLAM WHOLESALE
INNEST CHEMICALS,1014.72,MALLAM WHOLESALE
BELLA CHEMICAL,1012.20,DOME WHOLESALE
AIDE CHEMIST LTD. - BOTWE,1010.08,AKUKOR FOTO WHOLESALE
AGYEI-MENSAH MEMORIAL MATERNITY HOME AND CLINIC,1010.00,KUMASI WHOLESALE
QUANTUM MEDICAL CENTRE,1009.95,DANSOMAN MARKET WHOLESALE
HEALTH COMMITTEE OF MISSIONS,1009.01,KORLE-BU WHOLESALE
FRIMPS CHEMIST,1008.40,DANSOMAN MARKET WHOLESALE
TRIPPLE B PHARMACY,1007.83,MALLAM WHOLESALE
EL SHADDAI MATERNITY HOME,1007.39,KORLE-BU WHOLESALE
MAAMOBI GENERAL HOSPITAL,1006.00,KORLE-BU WHOLESALE
COMFORT FREMAH CHEMICAL SHOP,1003.54,TANTRA HILL WHOLESALE
EAK PHARMACY LTD-RETAIL,1003.23,KUMASI WHOLESALE
ANNAN-JONES CHEMICAL,1002.61,KORLE-BU WHOLESALE
UNITY MEDICAL CENTER,1001.30,MALLAM WHOLESALE
ALPHA & OMEGA SPECIALIST HOSPITAL,1000.00,KORLE-BU WHOLESALE
JUCAD PHARMACY,1000.00,KORLE-BU WHOLESALE
KGA GHANA CHAPTER  (DR RALPH ARMAH),1000.00,KORLE-BU WHOLESALE
ADJIRINGANO COMM CLINIC,999.25,KORLE-BU WHOLESALE
"ADEVU HAPPY MANSAH OTC,MEDICINE SELLER",998.49,REPUBLIC WHOLESALE
RAYSS PHARMACY,995.38,TANTRA HILL WHOLESALE
LINDA CHEMICAL SHOP,994.71,ABEKA WHOLESALE
EDCARE PHARMACY,993.22,NANAKROM WHOLESALE
P J&C CHEMICAL,992.75,KASOA WHOLESALE
MEDI DIRECT PHARMACY,991.20,OKAISHIE WHOLESALE
FANSI MEDICAL SERVICES,990.50,ABEKA WHOLESALE
FAR   PLUS CHEMICAL,990.25,DOME WHOLESALE
HEMCY CHEMICAL,989.73,DOME WHOLESALE
BELINDA  CHEMICAL,987.93,OFANKOR WHOLESALE
CHORKOR COMMUNITY HOSPITAL,985.00,OKAISHIE WHOLESALE
KINGELA CHEMICALS,984.76,NANAKROM WHOLESALE
ABASSA CHEMICAL,982.81,REPUBLIC WHOLESALE
PROVIDENCE SPECIALIST HOSPITAL,982.00,OFANKOR WHOLESALE
EDEN CLINIC,981.65,MALLAM WHOLESALE
OKANTA MEDICAL CENTER,978.70,NANAKROM WHOLESALE
MEDITECH SHOP,975.00,DANSOMAN MARKET WHOLESALE
MEDWAY PHARMACY,973.94,MALLAM WHOLESALE
MERCY ARTHUR CHEMICALS,972.14,DOME WHOLESALE
THYWILL NISSI,970.56,KORLE-BU WHOLESALE
CYREX CHEMIST (OSU),970.20,KORLE-BU WHOLESALE
EM - ESS PHARMACY,969.15,OFANKOR WHOLESALE
SA BEKOE CHEMICAL,967.06,DOME WHOLESALE
MEDTOWN PHARMACY LTD,966.73,KORLE-BU WHOLESALE
ZULIYA PHARMACY,966.70,AKUKOR FOTO WHOLESALE
MAVIES CHEMICAL,965.53,OFANKOR WHOLESALE
KAHF PHARMACY,964.08,OFANKOR WHOLESALE
ADDISONS PHARMA,963.89,OSU WHOLESALE
THERESA CHEMICAL SHOP,963.66,MALLAM WHOLESALE
KORLE BU PHARMACY DEPARTMENT,963.24,KORLE-BU WHOLESALE
HARMONY CARE CHEMIST,961.17,OKAISHIE WHOLESALE
BISA NYAME PHARMACY,959.06,PATASE WHOLESALE
JEMIKAY CHEMICAL,954.38,MALLAM WHOLESALE
POLICE HOSPITAL HERBAL UNIT,952.00,KORLE-BU WHOLESALE
MARTHA MIRIAM CHEMICAL,947.90,OKAISHIE WHOLESALE
PHARMAGEOGE CHEMIST-WHOLESALE,947.88,OSU WHOLESALE
KORNELIA PHARMACY,947.70,DOME WHOLESALE
J B OTC SHOP,944.16,KUMASI WHOLESALE
CARE CHANNEL PHARMACY,942.00,DOME WHOLESALE
ADOAGYIRI HEALTH CENTRE,941.61,KORLE-BU WHOLESALE
DIAMK PHARMACY,939.00,OKAISHIE WHOLESALE
GOODMORNING HEALTH,937.49,DOME WHOLESALE
LYDWORD CLINIC,932.90,OFANKOR WHOLESALE
ESPEL CHEMICAL,932.63,ASHAIMAN WHOLESALE
JAS  FOUNDATION,930.87,MALLAM WHOLESALE
RIGHT PHARMACY,930.84,KORLE-BU WHOLESALE
PRECISE SPECIALIST CLINIC,930.30,PATASE WHOLESALE
FRANCIS HERBAL CENTER,926.07,OKAISHIE WHOLESALE
SELLY PHARMACY  LTD,926.00,OKAISHIE WHOLESALE
MAB INTERNATIONAL HOSPITAL,924.00,MALLAM WHOLESALE
REVMAN PHARMACY,922.08,ABEKA WHOLESALE
SANDRA CHEMICALS,916.33,OKAISHIE WHOLESALE
DUROWAA PHARMACY,915.64,MALLAM WHOLESALE
MAWUKO CHEMICAL SHOP,915.64,ABEKA WHOLESALE
ROCKMER CHEMIST,915.50,DANSOMAN MARKET WHOLESALE
KOSA PHARMACY,913.10,AKUKOR FOTO WHOLESALE
FAVOUR GOD CHEMICALS,912.45,OKAISHIE WHOLESALE
JANAM CHEMICAL SHOP,911.79,KORLE-BU WHOLESALE
APRIL GOLD CHEMICAL,908.30,ABEKA WHOLESALE
JONATHAN BOTCHWEY CHEMICAL,907.18,TANTRA HILL WHOLESALE
LBI SCHOOL,902.66,TANTRA HILL WHOLESALE
KWASI GYAN CHEMICAL,901.17,TANTRA HILL WHOLESALE
SK GLOBAL PHARMACY,900.16,DOME WHOLESALE
ADENTA PHARMACY,900.00,OKAISHIE WHOLESALE
NRPS & BURNS CENTRE PHARMACY,899.44,KORLE-BU WHOLESALE
GILEAD PHARMACY,898.90,OKAISHIE WHOLESALE
KLAS PHARMACEUTICAL CO LTD,897.66,TANTRA HILL WHOLESALE
SALBY  PHARMACY,897.00,DANSOMAN MARKET WHOLESALE
MUBHAK PHARMACY,896.58,OFANKOR WHOLESALE
FLORENCE COMMUNITY HOSPITAL,896.57,DANSOMAN MARKET WHOLESALE
DOSTY PHARMACY,896.00,NANAKROM WHOLESALE
GARRYSON PHARMACY,895.51,PATASE WHOLESALE
MEDKNIGHT PHARMACY,893.00,OFANKOR WHOLESALE
ELIKEM DOT PHARMACY,892.70,REPUBLIC WHOLESALE
STEVEMENS PHARMACY,891.34,DOME WHOLESALE
HARRIET DEBRAH LISCENCE CHEMICAL,891.19,OFANKOR WHOLESALE
CHORKOR COMMUNITY HOSPITAL,890.00,REPUBLIC WHOLESALE
EL - SHADDAI CLINIC,890.00,MALLAM WHOLESALE
MARY LUCY HOSPITAL,890.00,KORLE-BU WHOLESALE
VICTOR OKYERE OTC,886.59,PATASE WHOLESALE
HOLY FAMILY POLYCLINIC-KULMASA,886.52,OSU WHOLESALE
VERONICA ESHUN CHEMICAL,882.63,KORLE-BU WHOLESALE
CHRIST IS THE ANSWER CHEM,882.16,OKAISHIE WHOLESALE
SERECA PHARMACY,881.40,DANSOMAN MARKET WHOLESALE
ROBLOIS PHARMACY LTD,881.05,TANTRA HILL WHOLESALE
LIGHT PHARMA GALILEA,880.08,KASOA WHOLESALE
FALL FOWARD CHEMICAL SHOP,875.89,KASOA WHOLESALE
NEB PHARMACY,875.00,OKAISHIE WHOLESALE
KOPAH CLINIC- V/R,871.00,OKAISHIE WHOLESALE
UESD LADIES CLUB,870.85,MALLAM WHOLESALE
CALPHARM LTD,870.02,KORLE-BU WHOLESALE
OKANTA MEMORIAL HOSPITAL,869.79,NANAKROM WHOLESALE
KATH - EYE CLINIC,868.50,KUMASI WHOLESALE
STREAMLINE PHARMACY,868.10,KORLE-BU WHOLESALE
RIGHT VIEW,866.76,TANTRA HILL WHOLESALE
KARIS ESSENTIAL,866.00,DOME WHOLESALE
ABIGAIL ABABIO CHEMICAL SHOP,864.96,OFANKOR WHOLESALE
COMMUNITY LIFE PHARMACY,864.72,OFANKOR WHOLESALE
FOUNTAIN VIEW FAITH HOSPITAL-DUNKWA,864.00,KUMASI WHOLESALE
RAKYAA CHEMIST LTD,864.00,DANSOMAN MARKET WHOLESALE
KIK HYPRO PHAMARCY,863.72,OKAISHIE WHOLESALE
DIABETIC CENTRE KORLE BU,863.32,OKAISHIE WHOLESALE
BIAKOYE PHARMACY(WHOLESALE),862.40,OKAISHIE WHOLESALE
H&H PHARMACY,862.37,KASOA WHOLESALE
HARRISON CHEMICAL,862.12,ABEKA WHOLESALE
ADAMS LICENSE CHEMICAL,861.25,ABEKA WHOLESALE
DISCOVERY HOSPITAL,860.00,TANTRA HILL WHOLESALE
FRANCISCA CHEMICAL SHOP,858.87,OKAISHIE WHOLESALE
RABONI CHRISTIAN HOSPITAL,858.66,DOME WHOLESALE
VIOLET'S MEDICAL CENTRE,858.00,KORLE-BU WHOLESALE
LORRITA CHEMICAL,852.77,OKAISHIE WHOLESALE
CANADA GHANA NUTRITON CENTER,852.50,TANTRA HILL WHOLESALE
GRACE MOUNTAIN MINISTRY,852.00,TANTRA HILL WHOLESALE
HEALTHY PEACE CHEMIST,851.65,OKAISHIE WHOLESALE
RONEL PHARMACY,847.90,KUMASI WHOLESALE
VICDONNAI CHEMICAL SHOP,846.88,KORLE-BU WHOLESALE
MR. KLEPONI,846.70,DOME WHOLESALE
MARIDEC PHARMACY,846.19,DOME WHOLESALE
DEWLAND CHEMIST,845.50,OKAISHIE WHOLESALE
GERIAN PHARMA LTD,844.40,DANSOMAN MARKET WHOLESALE
R AND C PHARMACY,844.40,DOME WHOLESALE
FLORENCE OPPONG CHEMICAL,844.31,OFANKOR WHOLESALE
LAYOR MEDICALS,844.00,MALLAM WHOLESALE
JENNY D CHEMICAL,842.85,OFANKOR WHOLESALE
GEO JANE CHEMICAL,842.55,MALLAM WHOLESALE
MARINANT,842.42,OKAISHIE WHOLESALE
HEALTH AID PHARMACY,842.10,REPUBLIC WHOLESALE
MAKAY PHARMACY LTD-RETAIL,840.00,MALLAM WHOLESALE
PARKER PHARMACY,840.00,MALLAM WHOLESALE
MAGBAK CHEMICAL,839.81,KASOA WHOLESALE
"FRANEVA CHEMIST LIMITED, KANESHIE",839.40,MALLAM WHOLESALE
JULIANA MENSAH CHEMICAL,838.95,OFANKOR WHOLESALE
ANIMA CHEMICAL,838.61,OFANKOR WHOLESALE
A&P PHARMACY,837.91,OFANKOR WHOLESALE
DAELYN PHARMACY,836.42,DANSOMAN MARKET WHOLESALE
CHARISMA CHEMICAL,836.26,OFANKOR WHOLESALE
SOLIS MEDICAL CENTRE,835.30,OSU WHOLESALE
CHEMFLO CHEMICAL SHOP,834.00,DANSOMAN MARKET WHOLESALE
PHENET CHEMICAL,833.23,DANSOMAN MARKET WHOLESALE
"DANQUAH CHEMIST, ASHALAJA",831.95,REPUBLIC WHOLESALE
KATMAN CHEMICAL,831.86,TANTRA HILL WHOLESALE
HILL VIEW CHEMICAL SHOP,831.20,ABEKA WHOLESALE
91 DEGREES LTD,831.12,MALLAM WHOLESALE
ENVIRO PHARMACY,829.53,NANAKROM WHOLESALE
REHOBOTH PHARMACY,829.20,OKAISHIE WHOLESALE
OBENGFO HOSPITAL,828.40,KORLE-BU WHOLESALE
AUNTY MARY CHEMIST,828.16,DOME WHOLESALE
GBAWE INTERNATIONAL MONTESSORI,827.70,MALLAM WHOLESALE
LINIC  CHEMICAL,827.58,ABEKA WHOLESALE
LIVEMORE PHARMACY,826.05,ASHAIMAN WHOLESALE
GLORIA APPIAH CHEMICAL,825.91,MALLAM WHOLESALE
SAFOA BEATRICE OBIRI OTC,825.84,MALLAM WHOLESALE
ALL FAITH MEDICAL CENTER,823.14,OKAISHIE WHOLESALE
GEO JANE CHEMICAL,823.00,OKAISHIE WHOLESALE
FRANWEN PHARMACY,822.72,TANTRA HILL WHOLESALE
CARE CHANNEL PHARMACY,822.43,DANSOMAN MARKET WHOLESALE
NATIONAL BLOOD SERVICE,822.25,KORLE-BU WHOLESALE
ATTU CLINIC,821.80,MALLAM WHOLESALE
M. R CHEMICAL,820.67,DANSOMAN MARKET WHOLESALE
CLIMAX PHARMACY - NKAWKAW,820.00,OKAISHIE WHOLESALE
CATHERINE CHEMICALS,818.40,OKAISHIE WHOLESALE
A.M HEALTH CARE CENTRE,816.30,KORLE-BU WHOLESALE
VALLEY VIEW CLINIC,814.70,AKUKOR FOTO WHOLESALE
MAVIS CHEMICAL SHOP - NYANYANO,814.69,OFANKOR WHOLESALE
BABY CARE ESSENTIALS,814.00,MALLAM WHOLESALE
GOIL FILLING STATION,813.40,AKUKOR FOTO WHOLESALE
PANDA CHEMIST,812.26,PATASE WHOLESALE
GRA CLINIC TEMA,811.04,KORLE-BU WHOLESALE
ST. MARTINS MEMORIAL  HOSPITAL,810.00,KORLE-BU WHOLESALE
KINGSCHEM PHARMACY,809.90,TANTRA HILL WHOLESALE
YAWHO PHARMACY,808.80,MALLAM WHOLESALE
GOLDEN HEALTH PHARMACY,808.76,OFANKOR WHOLESALE
EXTENDED  HEALTH CARE CENTER,807.90,KORLE-BU WHOLESALE
KAIZEN PHARMACY,805.73,ABEKA WHOLESALE
OXALE PHARMACY LTD,804.75,KUMASI WHOLESALE
SHALOM CHEMICAL,804.20,ASHAIMAN WHOLESALE
ADANE  CHEMIST,803.80,OKAISHIE WHOLESALE
BOSTON MEDICAL CENTRE,802.60,AKUKOR FOTO WHOLESALE
NOBEL CHEMIST,800.92,NANAKROM WHOLESALE
MARKET STREET PHARMACY,800.43,OKAISHIE WHOLESALE
DR MENSAH,798.85,ABEKA WHOLESALE
AMAZING  GRACE,798.75,MALLAM WHOLESALE
ALMCO PHARMACY LTD,798.59,KORLE-BU WHOLESALE
DOWPET CHEMICAL,798.00,MALLAM WHOLESALE
AUDREY CHEMICAL SHOP,797.99,OKAISHIE WHOLESALE
FREDATONY EXECUTIVE CLINIC,796.03,KUMASI WHOLESALE
RAHMAH TOWN CLINIC,795.00,OKAISHIE WHOLESALE
UNIVERSITY OF GHANA MEDICAL CENTER,794.00,DOME WHOLESALE
PRINCESS CHEMICAL,793.03,ABEKA WHOLESALE
EL - SHADDAI CLINIC,791.61,KORLE-BU WHOLESALE
O P PHARMACY,786.64,ABEKA WHOLESALE
KABS PHARMA LTD,785.46,DOME WHOLESALE
DECODEM DRUGSTORE,784.35,DANSOMAN MARKET WHOLESALE
OKYERE'S CHEMICAL,783.43,KASOA WHOLESALE
ANAASONS PHARMACY,780.98,MALLAM WHOLESALE
GEORGE KUNUDJI,780.38,ABEKA WHOLESALE
METHODIST FAITH HEALING HOSPITAL-ANKAASE,780.00,PATASE WHOLESALE
MWIN TUBA HOSPITAL & COLO-PROTOLOGY CENTRE LTD,776.60,KORLE-BU WHOLESALE
MEDWAY PHARMACY,776.07,ABEKA WHOLESALE
WELLGAINT PHARMACY,776.00,ABEKA WHOLESALE
S.K ADOFO CHEMICAL,775.57,AKUKOR FOTO WHOLESALE
JULIET CHEMICAL,772.51,OKAISHIE WHOLESALE
U2 SALT COMPANY,772.45,MALLAM WHOLESALE
HONEY COMB FOODS LTD,770.60,MALLAM WHOLESALE
NOBLES STRENGTH PHARMACY,770.00,ABEKA WHOLESALE
CHORKOR COMMUNITY HOSPITAL,769.53,KORLE-BU WHOLESALE
ISTINA PHARMACY,769.50,OKAISHIE WHOLESALE
FAUSTSAM CHEMICAL SHOP,768.75,OFANKOR WHOLESALE
DANSOMAN POLYCLINIC,768.34,KORLE-BU WHOLESALE
SAPPHIRE PHARMACY,768.29,ASHAIMAN WHOLESALE
LIZMAT CHEMICALS,767.82,DANSOMAN MARKET WHOLESALE
NHYIRA CHEMICALS,766.15,OKAISHIE WHOLESALE
GILMAN & ABBEY F. H,764.70,DANSOMAN MARKET WHOLESALE
GAEC VERTINARY CLINIC,760.00,DOME WHOLESALE
TREE OF LIFE,760.00,MALLAM WHOLESALE
RITA BINEY CHEMICALS,757.80,OFANKOR WHOLESALE
MEDLINE MEDICAL INDUSTRIES LTD,757.00,KORLE-BU WHOLESALE
ANAA ELM PHARMACY,756.00,OKAISHIE WHOLESALE
MAM CHEMIST,756.00,TANTRA HILL WHOLESALE
NORA OTC SHOP,756.00,MALLAM WHOLESALE
ST. JOHNS GRAMMER,756.00,TANTRA HILL WHOLESALE
KETHAMA PHARMACY,752.14,OKAISHIE WHOLESALE
WEST HILLS CHEMICAL,752.10,REPUBLIC WHOLESALE
ORBITAL PHARMACY AMASAMAN,751.20,TANTRA HILL WHOLESALE
PRIMADONA SUPERMARKET,750.84,MALLAM WHOLESALE
NURSES QUATERS CLINIC,750.00,OKAISHIE WHOLESALE
PENTSOS KANESHIE AREA,750.00,MALLAM WHOLESALE
PHYTOSTAT ENT,749.84,MALLAM WHOLESALE
W K MENSAH CHEMICAL,748.57,MALLAM WHOLESALE
EDEM CHEMICALS,747.79,OKAISHIE WHOLESALE
ANSTAND CHEMISTS,747.40,PATASE WHOLESALE
JEMBERT CLINIC,747.00,MALLAM WHOLESALE
WISHARD PHARMACY,746.35,NANAKROM WHOLESALE
OXFORD CHEMICAL SHOP- OLD BARRIER,745.64,MALLAM WHOLESALE
TWUMWAH PHARMACY,745.40,OFANKOR WHOLESALE
PAMA PHARMACY,744.00,MALLAM WHOLESALE
SELECTION SUPERMARKET,742.62,MALLAM WHOLESALE
FOUNTAINHEAD  MEDICARE,742.50,OKAISHIE WHOLESALE
OFOSS CHEMICAL SHOP,741.95,TANTRA HILL WHOLESALE
ESTHER CHEMICAL SHOP,741.84,OKAISHIE WHOLESALE
POULTICE PHARMACY,740.00,TANTRA HILL WHOLESALE
JOS PHARMACY,739.54,DANSOMAN MARKET WHOLESALE
YENWIESA COMPANY LIMITED,736.10,KORLE-BU WHOLESALE
APTMED PHARMACY  - ADJIRINGANOR,735.88,MALLAM WHOLESALE
DOCMORISON PHARMACY,734.00,OKAISHIE WHOLESALE
MADAM CATHERINE CLINIC,733.60,MALLAM WHOLESALE
AIDE CHEMIST LTD. - BOTWE,732.66,DANSOMAN MARKET WHOLESALE
OBEYEYIE MEDICAL CENTER,732.50,MALLAM WHOLESALE
SA BEKOE CHEMICAL,732.28,TANTRA HILL WHOLESALE
W K APPIAH CHEMICAL,732.11,ABEKA WHOLESALE
DORIS AGYEKUM CHEMICALS,731.95,KORLE-BU WHOLESALE
PERFECT WELLNESS PHARMACY,730.37,MALLAM WHOLESALE
EUNICE DZASA CHEMICAL,729.00,MALLAM WHOLESALE
MAWU ENA PHARMACY,728.40,OFANKOR WHOLESALE
LINA CHEMIST,727.55,OKAISHIE WHOLESALE
PARADISE CHEMICAL SHOP,727.11,ABEKA WHOLESALE
AMAZING PHARMACY,725.00,OSU WHOLESALE
GODSWAY  CHEMICAL,724.68,OKAISHIE WHOLESALE
SOUL REVIVAL AND OUTREACH MIN.,724.50,MALLAM WHOLESALE
RHINO PHARMACY,723.78,OSU WHOLESALE
DENT-SMILE VENTURES,722.10,KORLE-BU WHOLESALE
JOYNOC PHARMACEUTICAL LTD,720.00,DOME WHOLESALE
KOSAK PHARMACY LTD.,720.00,REPUBLIC WHOLESALE
PROVERBS CHEMICALS,720.00,KASOA WHOLESALE
OBENGFO HOSPITAL,718.80,MALLAM WHOLESALE
BERNICE LCS,718.00,TANTRA HILL WHOLESALE
NEUSITE MEDITECH & KONSULT,715.90,KORLE-BU WHOLESALE
HIS MIGHTY CHEMICAL,715.60,ASHAIMAN WHOLESALE
PERKINS  MEDICAL CENTER,715.20,OKAISHIE WHOLESALE
AMASS SURGICAL-OKAISHIE,715.00,NANAKROM WHOLESALE
BCS CHEMICAL,714.80,OKAISHIE WHOLESALE
EXXELL PHARMACY,714.40,TANTRA HILL WHOLESALE
OSU RETAIL,714.40,OSU WHOLESALE
CS VICTORY MEDICAL CENTER,709.51,NANAKROM WHOLESALE
COVE PHARMACY,709.47,AKUKOR FOTO WHOLESALE
LITTLE BY LITTLE CHEMIST,709.22,KASOA WHOLESALE
RICHJOES PHARMACY KANESHIE-WHOLESALE,707.31,MALLAM WHOLESALE
STERNA CHEMICAL,706.49,KASOA WHOLESALE
VINE MEDICAL CENTRE,705.63,OKAISHIE WHOLESALE
SENESO CHIP COMPOUND,705.00,MALLAM WHOLESALE
ROMEE CHEMIST,704.88,ABEKA WHOLESALE
HAPPY CITY PHARMACY,704.66,REPUBLIC WHOLESALE
W K MENSAH CHEMICAL,704.24,ABEKA WHOLESALE
EBENEZER ASEIDU CHEMICAL,703.37,ABEKA WHOLESALE
ABIGAIL AGYEMANG CHEMICAL SHOP,701.80,OKAISHIE WHOLESALE
GATEWAY CHEMICAL,700.79,REPUBLIC WHOLESALE
HEALTH WEALTH PHARMACY,700.62,OKAISHIE WHOLESALE
AMASS SURGICAL-OKAISHIE,700.00,OKAISHIE WHOLESALE
ASAMFAM PHARMACEUTICAL,700.00,AKUKOR FOTO WHOLESALE
GIFTY AMPONSAH CHEMICAL SHOP,698.64,ABEKA WHOLESALE
JEDLAB MEDICAL SUPPLIES,697.00,KORLE-BU WHOLESALE
BONSU CHEMICAL,695.29,OFANKOR WHOLESALE
G. AGBENYAGA CHEMICAL,694.26,MALLAM WHOLESALE
GADZA HEALTH CENTRE,693.00,KORLE-BU WHOLESALE
D- CHARM AVENU,691.89,DOME WHOLESALE
NANCY CHEMICAL,691.06,ABEKA WHOLESALE
AKOHANS PHARMACY,690.00,MALLAM WHOLESALE
J A E  CLINIC,690.00,ABEKA WHOLESALE
LLOYLAN PHARMACY WHOLESALE,690.00,ASHAIMAN WHOLESALE
PROJECT NYAME NSA,690.00,KORLE-BU WHOLESALE
